brand,asin,title,price,mrp,discount_pct,rating,review_count,url
Safari,B0F9FR5YK9,Safari,4599,19998,77.0,4.0,,https://www.amazon.in/dp/B0F9FR5YK9
Safari,B0F79HDGBC,DELSEY PARIS,5499,20500,73.2,4.1,,https://www.amazon.in/dp/B0F79HDGBC
Safari,B0DNMSPP2G,Urban Jungle,6995,13999,50.0,4.3,,https://www.amazon.in/dp/B0DNMSPP2G
Safari,B0FLYFYT23,Safari,4999,27997,82.1,4.0,,https://www.amazon.in/dp/B0FLYFYT23
Safari,B0F67J5S83,Safari,1399,6999,80.0,4.0,,https://www.amazon.in/dp/B0F67J5S83
Safari,B097BH338H,Safari,1699,8999,81.1,4.2,,https://www.amazon.in/dp/B097BH338H
Safari,B0F67L3Y72,Safari,1899,8999,78.9,4.0,,https://www.amazon.in/dp/B0F67L3Y72
Safari,B0FLYG5Y79,Safari,1899,8999,78.9,4.0,,https://www.amazon.in/dp/B0FLYG5Y79
Safari,B097GR45SS,Safari,2299,10999,79.1,4.2,,https://www.amazon.in/dp/B097GR45SS
Safari,B097JMCG1B,Safari,5849,29100,79.9,4.0,,https://www.amazon.in/dp/B097JMCG1B
Skybags,B0F79PPJNG,DELSEY PARIS,6299,22000,71.4,4.1,,https://www.amazon.in/dp/B0F79PPJNG
Skybags,B0D4ZCB6ZX,Skybags,3799,13600,72.1,4.0,,https://www.amazon.in/dp/B0D4ZCB6ZX
Skybags,B0GSKDPXSK,Skybags,2899,14250,79.7,3.7,,https://www.amazon.in/dp/B0GSKDPXSK
Skybags,B0DNMSPP2G,Urban Jungle,6995,13999,50.0,4.3,,https://www.amazon.in/dp/B0DNMSPP2G
Skybags,B07HCRSLFY,Skybags,3099,9050,65.8,4.2,,https://www.amazon.in/dp/B07HCRSLFY
Skybags,B0C8ZY4579,Skybags,1549,4450,65.2,4.1,,https://www.amazon.in/dp/B0C8ZY4579
Skybags,B0C8ZD8KNP,Skybags,2599,9100,71.4,4.2,,https://www.amazon.in/dp/B0C8ZD8KNP
Skybags,B0DDLDXT8N,VIP,5639,19998,71.8,4.1,,https://www.amazon.in/dp/B0DDLDXT8N
Skybags,B073JSGMRS,Skybags,1399,4620,69.7,4.2,,https://www.amazon.in/dp/B073JSGMRS
Skybags,B0CPSW5WJ5,Skybags,1869,7060,73.5,4.4,,https://www.amazon.in/dp/B0CPSW5WJ5
American Tourister,B0F79PPJNG,DELSEY PARIS,6299,22000,71.4,4.1,,https://www.amazon.in/dp/B0F79PPJNG
American Tourister,B0DNMSPP2G,Urban Jungle,6995,13999,50.0,4.3,,https://www.amazon.in/dp/B0DNMSPP2G
American Tourister,B097JMCG1B,Safari,5849,29100,79.9,4.0,,https://www.amazon.in/dp/B097JMCG1B
American Tourister,B0D9Y3Q8B5,MOKOBARA,7499,13999,46.4,4.4,,https://www.amazon.in/dp/B0D9Y3Q8B5
American Tourister,B07Z417Y94,American Tourister,2049,7190,71.5,4.3,,https://www.amazon.in/dp/B07Z417Y94
American Tourister,B0F5HLTS84,American Tourister,4099,9800,58.2,4.1,,https://www.amazon.in/dp/B0F5HLTS84
American Tourister,B09RPLYFXJ,American Tourister,2549,8490,70.0,4.3,,https://www.amazon.in/dp/B09RPLYFXJ
American Tourister,B0CHRL351K,American Tourister,3399,4800,29.2,4.5,,https://www.amazon.in/dp/B0CHRL351K
American Tourister,B0D635V7QC,Kamiliant,2199,9550,77.0,4.1,,https://www.amazon.in/dp/B0D635V7QC
American Tourister,B0F5HKFPWR,American Tourister,3299,8450,61.0,4.2,,https://www.amazon.in/dp/B0F5HKFPWR
VIP,B0F79HDGBC,DELSEY PARIS,5499,20500,73.2,4.1,,https://www.amazon.in/dp/B0F79HDGBC
VIP,B0DNMSPP2G,Urban Jungle,6995,13999,50.0,4.3,,https://www.amazon.in/dp/B0DNMSPP2G
VIP,B0D9Y3Q8B5,MOKOBARA,7499,13999,46.4,4.4,,https://www.amazon.in/dp/B0D9Y3Q8B5
VIP,B0DN1778WF,MOKOBARA,4799,10999,56.4,4.4,,https://www.amazon.in/dp/B0DN1778WF
VIP,B0CBTZP3CL,VIP,3119,14990,79.2,3.7,,https://www.amazon.in/dp/B0CBTZP3CL
VIP,B0FC6QHR4T,Aristocrat,1359,7990,83.0,4.1,,https://www.amazon.in/dp/B0FC6QHR4T
VIP,B0C8ZY4579,Skybags,1549,4450,65.2,4.1,,https://www.amazon.in/dp/B0C8ZY4579
VIP,B0D4RCWTTZ,VIP,2510,10090,75.1,4.2,,https://www.amazon.in/dp/B0D4RCWTTZ
VIP,B0DDLDXT8N,VIP,5639,19998,71.8,4.1,,https://www.amazon.in/dp/B0DDLDXT8N
VIP,B0FC6L8H6G,Aristocrat,2799,18880,85.2,4.1,,https://www.amazon.in/dp/B0FC6L8H6G
